"Company
(Maker-if known)","Company
Location","Broad Bean
Origin","Specific Bean Origin
or Bar Name","Bean
Type","Cocoa
Percent",Rating,Flavours of Cocoa Rating System,"Review
Date",REF
A. Morin,France,Sao Tome & Principe,Agua Grande, ,63%,3.75,Praiseworthy,2016,1876
A. Morin,France,Togo,Kpime, ,70%,3,satisfactory,2015,1676
A. Morin,France,Togo,Atsane, ,70%,3,satisfactory,2015,1676
A. Morin,France,Togo,Akata, ,70%,3,satisfactory,2015,1680
A. Morin,France,Peru,Quilla, ,70%,3,satisfactory,2015,1704
A. Morin,France,Venezuela,Carenero,Criollo,70%,3,satisfactory,2014,1315
A. Morin,France,Cuba,Cuba, ,70%,3,satisfactory,2014,1315
A. Morin,France,Venezuela,Sur del Lago,Criollo,70%,3,satisfactory,2014,1315
A. Morin,France,Venezuela,Puerto Cabello,Criollo,70%,3.75,Praiseworthy,2014,1319
A. Morin,France,Peru,Pablino, ,70%,4,Premium,2014,1319
A. Morin,France,Panama,Panama, ,70%,3,satisfactory,2013,1011
A. Morin,France,Madagascar,Madagascar,Criollo,70%,3,satisfactory,2013,1011
A. Morin,France,Brazil,Brazil, ,70%,3,satisfactory,2013,1011
A. Morin,France,Ecuador,Equateur, ,70%,3.75,Praiseworthy,2013,1011
A. Morin,France,Colombia,Colombie, ,70%,3,satisfactory,2013,1015
A. Morin,France,Burma,Birmanie, ,70%,3,satisfactory,2013,1015
A. Morin,France,Papua New Guinea,Papua New Guinea, ,70%,3,satisfactory,2013,1015
A. Morin,France,Venezuela,Chuao,Trinitario,70%,4,Premium,2013,1015
A. Morin,France,Peru,Piura, ,70%,3,satisfactory,2013,1019
A. Morin,France,Peru,Chanchamayo Province, ,70%,3,satisfactory,2013,1019
A. Morin,France,Peru,Chanchamayo Province, ,63%,4,Premium,2013,1019
A. Morin,France,Bolivia,Bolivia, ,70%,3,satisfactory,2012,797
A. Morin,France,Peru,Peru, ,63%,3.75,Praiseworthy,2012,797
Acalli,U.S.A.,Peru,"Chulucanas, El Platanal", ,70%,3.75,Praiseworthy,2015,1462
Acalli,U.S.A.,Peru,"Tumbes, Norandino",Criollo,70%,3.75,Praiseworthy,2015,1470
Adi,Fiji,Fiji,Vanua Levu,Trinitario,60%,3,satisfactory,2011,705
Adi,Fiji,Fiji,"Vanua Levu, Toto-A",Trinitario,80%,3,satisfactory,2011,705
Adi,Fiji,Fiji,Vanua Levu,Trinitario,88%,3,satisfactory,2011,705
Adi,Fiji,Fiji,"Vanua Levu, Ami-Ami-CA",Trinitario,72%,3,satisfactory,2011,705
Aequare (Gianduja),Ecuador,Ecuador,"Los Rios, Quevedo, Arriba",Forastero (Arriba),55%,3,satisfactory,2009,370
Aequare (Gianduja),Ecuador,Ecuador,"Los Rios, Quevedo, Arriba",Forastero (Arriba),70%,3,satisfactory,2009,370
Ah Cacao,Mexico,Mexico,Tabasco,Criollo,70%,3,satisfactory,2009,316
Akesson's (Pralus),Switzerland,Indonesia,"Bali (west), Sukrama Family, Melaya area",Trinitario,75%,3.75,Praiseworthy,2011,636
Akesson's (Pralus),Switzerland,Madagascar,"Madagascar, Ambolikapiky P.",Criollo,75%,3,satisfactory,2010,502
Akesson's (Pralus),Switzerland,Brazil,"Monte Alegre, D. Badero",Forastero,75%,3,satisfactory,2010,508
Alain Ducasse,France,Trinidad,Trinite,Trinitario,65%,3,satisfactory,2014,1215
Alain Ducasse,France,Vietnam,Vietnam,Trinitario,75%,3,satisfactory,2014,1215
Alain Ducasse,France,Madagascar,Madagascar,Trinitario,75%,3,satisfactory,2014,1215
Alain Ducasse,France,Venezuela,Chuao,Trinitario,75%,2,Disappointing,2013,1061
Alain Ducasse,France,Peru,"Piura, Perou", ,75%,2,Disappointing,2013,1173
Alexandre,Netherlands,Ecuador,"Winak Coop, Napo",Forastero (Nacional),70%,3,satisfactory,2017,1944
Alexandre,Netherlands,Nicaragua,"La Dalia, Matagalpa","Criollo, Trinitario",70%,3,satisfactory,2017,1944
Alexandre,Netherlands,Vietnam,Tien Giang,Trinitario,70%,3,satisfactory,2017,1944
Alexandre,Netherlands,Tanzania,"Makwale Village, Kyela",Forastero,70%,3,satisfactory,2017,1944
Altus aka Cao Artisan,U.S.A.,Nicaragua,Momotombo, ,60%,3,satisfactory,2016,1728
Altus aka Cao Artisan,U.S.A.,Peru,Acopagro, ,60%,3,satisfactory,2016,1728
Altus aka Cao Artisan,U.S.A.,Bolivia,CIAAB Coop, ,60%,2,Disappointing,2016,1732
Altus aka Cao Artisan,U.S.A.,Peru,Villa Andina, ,60%,2,Disappointing,2016,1732
Altus aka Cao Artisan,U.S.A.,Ecuador,Gruppo Salinas, ,60%,3,satisfactory,2016,1732
Altus aka Cao Artisan,U.S.A.,Venezuela,Sur del Lago, ,60%,2,Disappointing,2013,1125
Altus aka Cao Artisan,U.S.A.,Dominican Republic,Conacado,Trinitario,60%,3,satisfactory,2013,1125
Altus aka Cao Artisan,U.S.A.,Bolivia,Bolivia, ,80%,3,satisfactory,2013,1129
Altus aka Cao Artisan,U.S.A.,Bolivia,Bolivia, ,60%,3,satisfactory,2013,1133
Altus aka Cao Artisan,U.S.A.,Peru,Peru, ,60%,3,satisfactory,2013,1133
Amano,U.S.A.,Papua New Guinea,Morobe, ,70%,4,Premium,2011,725
Amano,U.S.A.,Dominican Republic,Dos Rios, ,70%,3.75,Praiseworthy,2010,470
Amano,U.S.A.,Ecuador,Guayas, ,70%,4,Premium,2010,470
Amano,U.S.A.,Venezuela,Chuao,Trinitario,70%,3,satisfactory,2010,544
Amano,U.S.A.,Venezuela,Montanya, ,70%,3,satisfactory,2009,363
Amano,U.S.A.,Indonesia,"Bali, Jembrana", ,70%,3,satisfactory,2008,304
Amano,U.S.A.,Madagascar,Madagascar,Trinitario,70%,3,satisfactory,2007,129
Amano,U.S.A.,Venezuela,Cuyagua, ,70%,3,satisfactory,2007,147
Amano,U.S.A.,Venezuela,Ocumare,Criollo,70%,3.75,Praiseworthy,2007,175
Amatller (Simon Coll),Spain,Ghana,Ghana,Forastero,70%,3,satisfactory,2009,322
Amatller (Simon Coll),Spain,Ecuador,Ecuador, ,70%,3,satisfactory,2009,327
Amatller (Simon Coll),Spain,Ecuador,Ecuador, ,85%,3,satisfactory,2009,464
Amatller (Simon Coll),Spain,Ghana,Ghana,Forastero,85%,3,satisfactory,2009,464
Amazona,Peru,Peru,"LamasdelChanka, San Martin, Oro Verde coop", ,72%,3,satisfactory,2013,1145
Amazona,Peru,Peru,"Bellavista Gran Pajeten, San Martin",Trinitario,73%,3,satisfactory,2013,1145
Ambrosia,Canada,Belize,Belize,Trinitario,64%,3,satisfactory,2015,1494
Ambrosia,Canada,Madagascar,Madagascar,Trinitario,66%,3,satisfactory,2015,1494
Ambrosia,Canada,Dominican Republic,Dominican Republic, ,75%,3,satisfactory,2015,1498
Ambrosia,Canada,Papua New Guinea,Papua New Guinea, ,63%,3,satisfactory,2015,1498
Ambrosia,Canada,Venezuela,Venezuela, ,70%,3,satisfactory,2015,1498
Ambrosia,Canada,Peru,Peru, ,68%,3,satisfactory,2015,1498
Amedei,Italy,Peru,"Piura, Blanco de Criollo", ,70%,3.75,Praiseworthy,2012,979
